rank,company,ticker,ric,sector_gics,sub_sector,tier,tier_label,crowded_flag,mcap_jpy_bn,mcap_usd_m,tsr_1y_pct,tsr_3y_pct,tsr_5y_pct,sector_tsr_1y_pct,sector_tsr_3y_pct,topix_tsr_5y_pct,rel_1y_vs_sector_pp,rel_3y_vs_sector_pp,rel_5y_vs_topix_pp,ev_sales_x,ev_ebit_x,pe_x,fcf_yield_pct,pbr_x,ebit_margin_pct,ebitda_margin_pct,net_cash_jpy_bn,net_cash_pct_mcap,net_debt_ebitda_x,largest_holder_pct,support_rating,support_score_1_5
1,Shimano,7309,7309.T,Consumer Discretionary,Bicycle components,1,Tier 1 - Flagship,N,1900,12667,-5.0,-25.0,-35.0,12.0,30.0,55.0,-17.0,-55.0,-90.0,2.50,11.0,19.0,4.0,1.40,17.0,22.0,550,28.9,-2.50,15.0,MOD-HIGH,3.5
2,SMC Corporation,6273,6273.T,Industrials,Pneumatic automation,1,Tier 1 - Flagship,Y,3500,23333,-8.0,-10.0,5.0,10.0,25.0,55.0,-18.0,-35.0,-50.0,3.00,13.0,19.0,3.5,1.70,28.0,33.0,1100,31.4,-2.00,15.0,HIGH,4.0
3,Kyocera,6971,6971.T,Information Technology,Diversified electronics,1,Tier 1 - Flagship,Y,3000,20000,0.0,-5.0,-10.0,15.0,35.0,55.0,-15.0,-40.0,-65.0,1.20,20.0,30.0,2.0,0.90,4.5,12.0,300,10.0,-0.80,13.0,HIGH,4.0
4,Omron,6645,6645.T,Industrials,"Factory automation, healthcare devices",1,Tier 1 - Flagship,Y,1000,6667,5.0,-35.0,-40.0,10.0,25.0,55.0,-5.0,-60.0,-95.0,1.10,20.0,30.0,3.0,1.20,6.0,11.0,75,7.5,-0.50,15.0,HIGH,4.0
5,Nikon,7731,7731.T,Information Technology,"Optics, imaging, semicap",1,Tier 1 - Flagship,N,600,4000,-10.0,-25.0,0.0,15.0,35.0,55.0,-25.0,-60.0,-55.0,0.50,12.0,25.0,1.5,0.70,3.5,9.0,210,35.0,-1.50,15.0,HIGH,4.0
6,Casio Computer,6952,6952.T,Consumer Discretionary,"Watches, electronics",2,Tier 2 - High conviction,N,300,2000,-15.0,-30.0,-25.0,12.0,30.0,55.0,-27.0,-60.0,-80.0,0.70,10.0,16.0,6.0,1.00,7.0,11.0,90,30.0,-1.80,14.0,MOD-HIGH,3.5
7,Mabuchi Motor,6592,6592.T,Industrials,Small electric motors,1,Tier 1 - Flagship,N,180,1200,0.0,10.0,0.0,10.0,25.0,55.0,-10.0,-15.0,-55.0,0.30,5.0,14.0,7.0,0.80,9.0,14.0,130,72.2,-3.50,14.0,HIGH,4.0
8,Hirose Electric,6806,6806.T,Information Technology,Connectors,2,Tier 2 - High conviction,N,700,4667,-5.0,-10.0,0.0,15.0,35.0,55.0,-20.0,-45.0,-55.0,4.00,18.0,28.0,3.0,1.50,22.0,28.0,250,35.7,-1.80,15.0,HIGH,4.0
9,Alps Alpine,6770,6770.T,Information Technology,"Components, automotive infotainment",2,Tier 2 - High conviction,Y,300,2000,10.0,-10.0,-20.0,15.0,35.0,55.0,-5.0,-45.0,-75.0,0.30,10.0,14.0,6.0,0.70,3.0,8.0,20,6.7,-0.30,13.0,HIGH,4.0
10,Yamaha Corporation,7951,7951.T,Consumer Discretionary,"Musical instruments, audio",2,Tier 2 - High conviction,N,600,4000,-10.0,-35.0,-40.0,12.0,30.0,55.0,-22.0,-65.0,-95.0,1.20,15.0,22.0,4.0,1.10,8.0,13.0,100,16.7,-0.60,15.0,MOD-HIGH,3.5
