rank,company,ticker,item_type,seq,text
1,Shimano,7309,Elevator pitch,1,"Net cash ¥550bn = 29% of market cap. No capital allocation policy, no ROE target, no payout framework."
1,Shimano,7309,Elevator pitch,2,EBIT margin 27% to 17% since 2021. Volumes normalised; the fixed cost base did not.
1,Shimano,7309,Elevator pitch,3,~70% share of a component duopoly with intact pricing power. The franchise is not the problem; the balance sheet is.
1,Shimano,7309,Actionable change,1,Cap net cash at ~1yr capex plus working capital; return the ~¥300–350bn surplus (~18% of market cap) via a multi-year buyback.
1,Shimano,7309,Actionable change,2,"Publish a margin bridge to 22–24% EBIT, including Southeast Asian assembly capacity rationalisation."
1,Shimano,7309,Actionable change,3,"Review fishing tackle (~20% of sales, no operating overlap with cycling) for separation or sale."
1,Shimano,7309,Activist angle,1,Capital allocation
1,Shimano,7309,Activist angle,2,Cost / margin recovery
1,Shimano,7309,Activist angle,3,Portfolio simplification
1,Shimano,7309,Shareholder support,1,Trust-bank and foreign register (~35–40% foreign); family stake below 10% and non-blocking. Overcapitalisation is easy to evidence post-TSE reform. Lead with capital return — domestic holders will resist board-level demands on a revered Osaka franchise.
1,Shimano,7309,Company defence,1,"Fortress balance sheet funded share gains against SRAM and Campagnolo through cycles; bicycle demand is volatile. Counter: ¥550bn exceeds any credible investment programme, and none has been published."
2,SMC Corporation,6273,Elevator pitch,1,"28% EBIT margin, global share leadership, and five-year TSR below the index. Cause is ¥1.1tn of idle cash — over 30% of market cap."
2,SMC Corporation,6273,Elevator pitch,2,"Governance is among the weakest in Japanese large caps: insider-dominated board, minimal English disclosure, no cost-of-capital disclosure."
2,SMC Corporation,6273,Elevator pitch,3,Palliser has disclosed a stake and proposed a ~¥560bn buyback. The company would remain net cash after executing it in full.
2,SMC Corporation,6273,Actionable change,1,Execute a buyback at the scale proposed and adopt a standing policy capping net cash at a stated multiple of operating needs.
2,SMC Corporation,6273,Actionable change,2,"Bring governance to large-cap norms: majority-independent board, empowered nomination committee, full English disclosure, explicit ROE and cost-of-capital targets."
2,SMC Corporation,6273,Actionable change,3,Disclose segment and regional profitability to underwrite earnings quality.
2,SMC Corporation,6273,Activist angle,1,Capital allocation
2,SMC Corporation,6273,Activist angle,2,Governance
2,SMC Corporation,6273,Activist angle,3,Disclosure / re-rating
2,SMC Corporation,6273,Shareholder support,1,"Close to the ideal register: ~40% foreign, trust-bank heavy, no controlling holder, credible activist already public. Proxy advisers likely supportive on buyback and disclosure given non-engagement with TSE guidance. Family plus sympathetic domestic holders can still defeat a board-composition fight — win on capital and disclosure first."
2,SMC Corporation,6273,Company defence,1,"Inventory depth and lead times funded by cash are a genuine operational moat; capex is highly cyclical. Counter: the working-capital argument justifies a fraction of ¥1.1tn, and the calculation has never been published."
3,Kyocera,6971,Elevator pitch,1,"KDDI stake ~¥2.5tn against a ~¥3.0tn market cap. The operating business — components, packages, tools, printers, solar — is free."
3,Kyocera,6971,Elevator pitch,2,Core EBIT margin 4–5%. The stake has been held for decades as 'strategic' with no strategy disclosed.
3,Kyocera,6971,Elevator pitch,3,ISS and Glass Lewis backed Oasis against the chairman's reappointment at the June 2026 AGM. Voluntary action is not the base case.
3,Kyocera,6971,Actionable change,1,"Monetise the KDDI stake via a phased, tax-efficient programme (collar, exchangeable, or staged blocks); commit proceeds to buyback."
3,Kyocera,6971,Actionable change,2,"Exit or divest loss-making and subscale segments (solar, document solutions); set a divisional hurdle rate with a fixed timetable."
3,Kyocera,6971,Actionable change,3,Refresh the board with capital-markets and restructuring experience; separate chairman and CEO roles.
3,Kyocera,6971,Activist angle,1,Portfolio simplification / SOTP
3,Kyocera,6971,Activist angle,2,Capital allocation
3,Kyocera,6971,Activist angle,3,Governance
3,Kyocera,6971,Shareholder support,1,"Fragmented register, high foreign ownership, and proxy advisers already on record against the chairman. The SOTP argument requires arithmetic rather than a strategic judgement, which gives domestic institutions cover. Risk: management concedes a partial buyback to defuse momentum without touching the stake."
3,Kyocera,6971,Company defence,1,"Inamori management philosophy; KDDI is a founding legacy asset with telecoms-component linkage; sale triggers a large deferred tax liability on a near-zero cost basis. The tax point is the only serious one — and argues for phased monetisation, not inaction."
4,Omron,6645,Elevator pitch,1,~60% of equity value destroyed from the 2021 peak. Keyence and SMC face the same end markets and did not lose two-thirds of their margin — this is not a China cycle story.
4,Omron,6645,Elevator pitch,2,"A ~55% stake in listed JMDC (~¥350bn, ~35% of market cap) sits inside an automation company with no operating overlap."
4,Omron,6645,Elevator pitch,3,"Two mid-term plans announced, two missed. The board has not been held accountable for either."
4,Omron,6645,Actionable change,1,Monetise or distribute the JMDC stake; it is non-core and its consolidation obscures the core P&L.
4,Omron,6645,Actionable change,2,"Deliver an externally verifiable overhead reduction with a published bridge to double-digit EBIT, including headcount and site consolidation in control components."
4,Omron,6645,Actionable change,3,Exit subscale social systems and device businesses; refresh the directors who approved the JMDC purchase.
4,Omron,6645,Activist angle,1,Portfolio simplification
4,Omron,6645,Activist angle,2,Cost / operational turnaround
4,Omron,6645,Activist angle,3,Governance
4,Omron,6645,Shareholder support,1,"No anchor shareholder, heavy trust-bank and foreign presence, and a TSR record that gives domestic institutions little cover for supporting the board. Japan Activation Capital's domestic credibility makes the campaign harder to dismiss as foreign short-termism. Anchor demands in the two missed plans — a factual record, not an opinion."
4,Omron,6645,Company defence,1,Cyclical China automation downturn plus a semiconductor capex trough; investing through the cycle; JMDC is a long-term growth pillar and selling crystallises a low. Counter: the cycle does not explain a margin outcome twice as bad as comparable peers.
5,Nikon,7731,Elevator pitch,1,"0.7x book with 35% of market cap in net cash. The discount is a verdict on reinvestment, not on the assets."
5,Nikon,7731,Elevator pitch,2,RED Digital Cinema and SLM Solutions were bought at full prices into markets where Nikon has no structural advantage. Neither has moved earnings.
5,Nikon,7731,Elevator pitch,3,"3.5% EBIT margin on this revenue base is a cost and portfolio problem, not a demand problem."
5,Nikon,7731,Actionable change,1,Impose a board-level M&A moratorium with a published hurdle rate; redirect cash to buyback — repurchasing at 0.7x book is the highest-returning use available.
5,Nikon,7731,Actionable change,2,"Set a hard decision date on digital manufacturing (SLM) and components: meet a stated return threshold within 24 months or divest, with quarterly segment ROIC disclosure."
5,Nikon,7731,Actionable change,3,Refresh the board; the incumbents approved each of the value-destructive transactions.
5,Nikon,7731,Activist angle,1,Capital allocation / M&A discipline
5,Nikon,7731,Activist angle,2,Portfolio simplification
5,Nikon,7731,Activist angle,3,Governance
5,Nikon,7731,Shareholder support,1,"No anchor shareholder, high foreign ownership, and an argument requiring no forecast — only the historic return on deployed capital. Sub-book plus large net cash is the exact fact pattern the TSE directive addresses, giving conservative domestic holders a mandate. Proxy advisers receptive on both capital return and board accountability."
5,Nikon,7731,Company defence,1,Deliberate diversification from a declining camera market into industrial and medical precision; SLM and RED are long-term platforms; lithography retains a defensible legacy-node niche. Counter: the diversification narrative is over a decade old and returns have not appeared in any segment.
6,Casio Computer,6952,Elevator pitch,1,"G-Shock is a global, price-inelastic brand buried inside a portfolio of subscale electronics that consume the cash it generates."
6,Casio Computer,6952,Elevator pitch,2,Group EBIT 7% against a watch segment materially higher. Calculators are in structural decline; education has no scale.
6,Casio Computer,6952,Elevator pitch,3,Net cash 30% of market cap against ¥5bn buyback tranches — a rounding error against the balance.
6,Casio Computer,6952,Actionable change,1,"Reposition as a branded watch company: divest or wind down education, system equipment and residual hardware; report watches with standalone P&L and ROIC."
6,Casio Computer,6952,Actionable change,2,Upsize capital return against the ~¥90bn net cash position and adopt a permanent payout policy.
6,Casio Computer,6952,Actionable change,3,Reallocate marketing and R&D to the watch franchise; add independent directors with global consumer-brand experience.
6,Casio Computer,6952,Activist angle,1,Portfolio simplification
6,Casio Computer,6952,Activist angle,2,Capital allocation
6,Casio Computer,6952,Activist angle,3,Governance
6,Casio Computer,6952,Shareholder support,1,"Institutionally fragmented with a non-blocking family stake, so votes are winnable. The 'hidden brand' framing is attractive to domestic long-only holders. Friction: family attachment to the diversified electronics heritage, and a market cap small enough that few institutions will expend governance capital. Coalition with domestic value funds is the practical route."
6,Casio Computer,6952,Company defence,1,Non-watch segments share miniaturisation and LSI design capability with watches; education is a long-term emerging-market platform; the projector exit shows the portfolio is pruned. Counter: the shared-capability argument has run twenty years with group margin static at 7%.
7,Mabuchi Motor,6592,Elevator pitch,1,Net cash ¥130bn = 72% of market cap. Buyers pay ~5x EBIT for a global leader in small motors and receive the deposit free.
7,Mabuchi Motor,6592,Elevator pitch,2,"ROE mid-single-digit for years, structurally below cost of equity — entirely a denominator problem. The operating business earns acceptable returns on capital actually employed."
7,Mabuchi Motor,6592,Elevator pitch,3,"The most mechanically fixable balance sheet in the Japanese mid-cap universe. No strategy change required, only a decision."
7,Mabuchi Motor,6592,Actionable change,1,Run a large front-loaded buyback or tender; returning half the net cash lifts ROE above cost of equity immediately without touching operations.
7,Mabuchi Motor,6592,Actionable change,2,"Publish a capital allocation policy with an ROE floor, a net cash ceiling, and an M&A hurdle rate."
7,Mabuchi Motor,6592,Actionable change,3,Unwind residual cross-shareholdings; add directors with capital allocation experience.
7,Mabuchi Motor,6592,Activist angle,1,Capital allocation
7,Mabuchi Motor,6592,Activist angle,2,Governance
7,Mabuchi Motor,6592,Activist angle,3,M&A discipline
7,Mabuchi Motor,6592,Shareholder support,1,"Arithmetic rather than strategy — the easiest category to win. Large free float, non-blocking family bloc, and TSE cover for balance-sheet action at mid-single-digit ROE and sub-1x PBR. Proxy advisers reliably support this fact pattern. Constraint is liquidity: building influence in a ¥180bn name takes time and moves price."
7,Mabuchi Motor,6592,Company defence,1,"Automotive OEM customers audit supplier balance sheets; cash funds diversification away from automotive concentration and M&A dry powder; dividends have risen. Counter: customer stability justifies a strong balance sheet, not net cash above 60% of market cap, and the diversification programme has been small relative to resources."
8,Hirose Electric,6806,Elevator pitch,1,"EBIT margin 30%+ to low-20s over five years with no published diagnosis. For a company whose case was best-in-class connector profitability, that is the entire story."
8,Hirose Electric,6806,Elevator pitch,2,Net cash 36% of market cap. The 2026 buyback was executed slowly and paused in April — a token response to a structural issue.
8,Hirose Electric,6806,Elevator pitch,3,"No controlling holder, no family bloc, no cross-shareholding defence. The ownership structure offers management no protection."
8,Hirose Electric,6806,Actionable change,1,Upsize and accelerate the buyback; commit to returning free cash flow above a defined reinvestment budget rather than accumulating.
8,Hirose Electric,6806,Actionable change,2,"Publish a margin recovery plan diagnosing the decline (mix, pricing, or R&D productivity) with segment-level ROIC disclosure."
8,Hirose Electric,6806,Actionable change,3,Add independent directors with global components and capital-markets experience; disclose cost of capital per TSE guidance.
8,Hirose Electric,6806,Activist angle,1,Capital allocation
8,Hirose Electric,6806,Activist angle,2,Margin recovery
8,Hirose Electric,6806,Activist angle,3,Governance
8,Hirose Electric,6806,Shareholder support,1,Almost purely institutional with substantial foreign ownership and no anchor holder — structurally the most attackable large register here. Capital-return and disclosure demands are conventional and proxy-adviser friendly. Frame around the objective margin decline rather than management competence; domestic holders still regard Hirose as a quality name.
8,Hirose Electric,6806,Company defence,1,"Margin decline reflects deliberate investment in automotive and data-centre platforms with longer qualification cycles and lower initial margins; cash supports the associated capacity. A more respectable defence than most — the response is to demand segment ROIC, which management has resisted providing."
9,Alps Alpine,6770,Elevator pitch,1,Merger synergies have not appeared seven years on. EBIT margin ~3% against components peers at 10–15%.
9,Alps Alpine,6770,Elevator pitch,2,"Two structurally different businesses — components and automotive infotainment — with different customers, cycles and capital intensity, combined for no demonstrated benefit."
9,Alps Alpine,6770,Elevator pitch,3,Murakami holds ~10% and has forced a ¥30bn buyback covering >10% of shares. Management concedes under pressure but has not addressed the structure.
9,Alps Alpine,6770,Actionable change,1,"Separate automotive infotainment from components via sale, spin-off, or a formal strategic review with a public timetable."
9,Alps Alpine,6770,Actionable change,2,Commit to an EBIT margin target with a published bridge and site-level restructuring plan.
