rank,company,ticker,holder_rank,holder,stake_pct,register_comment
1,Shimano,7309,1,Master Trust Bank of Japan (trust),15.0,No controlling block. Foreign ownership ~35–40%.
1,Shimano,7309,2,Shimano family and related entities,9.0,
1,Shimano,7309,3,Custody Bank of Japan (trust),5.0,
1,Shimano,7309,4,State Street / SSBTC omnibus,4.0,
1,Shimano,7309,5,Nippon Life and domestic insurers,3.0,
2,SMC Corporation,6273,1,Takada family and related vehicles,15.0,Founder-family aggregate ~15% is the largest bloc but far short of control. Foreign ownership ~40%.
2,SMC Corporation,6273,2,Master Trust Bank of Japan (trust),14.0,
2,SMC Corporation,6273,3,"Foreign institutions (BlackRock, Capital, SSgA)",10.0,
2,SMC Corporation,6273,4,Custody Bank of Japan (trust),5.0,
2,SMC Corporation,6273,5,"Palliser Capital (activist, disclosed 2026)",2.0,
3,Kyocera,6971,1,Master Trust Bank of Japan (trust),13.0,Genuinely fragmented — no holder near control. Among the most attackable large-cap registers in Japan.
3,Kyocera,6971,2,Custody Bank of Japan (trust),5.0,
3,Kyocera,6971,3,Oasis Management (activist),3.0,
3,Kyocera,6971,4,Nippon Life and domestic insurers,3.0,
3,Kyocera,6971,5,Kyocera-related foundations and employee plans,3.0,
4,Omron,6645,1,Master Trust Bank of Japan (trust),15.0,Fully fragmented; no family or corporate anchor. Foreign ownership ~35%.
4,Omron,6645,2,"Foreign institutions (BlackRock, Norges)",8.0,
4,Omron,6645,3,Custody Bank of Japan (trust),6.0,
4,Omron,6645,4,"Japan Activation Capital (activist, disclosed 2026)",3.0,
4,Omron,6645,5,Nippon Life and domestic insurers,3.0,
5,Nikon,7731,1,Master Trust Bank of Japan (trust),15.0,Fragmented. Legacy keiretsu ties too small to block. Foreign ownership ~35%.
5,Nikon,7731,2,"Foreign institutions (BlackRock, Norges, Dimensional)",8.0,
5,Nikon,7731,3,Custody Bank of Japan (trust),6.0,
5,Nikon,7731,4,Mitsubishi group cross-shareholdings,5.0,
5,Nikon,7731,5,Nippon Life and domestic insurers,3.0,
6,Casio Computer,6952,1,Master Trust Bank of Japan (trust),14.0,Founder family retains board influence but holds under 10%. No blocking stake.
6,Casio Computer,6952,2,Kashio family and related entities,9.0,
6,Casio Computer,6952,3,Foreign institutions (aggregate),7.0,
6,Casio Computer,6952,4,Custody Bank of Japan (trust),6.0,
6,Casio Computer,6952,5,Domestic insurers and banks,4.0,
7,Mabuchi Motor,6592,1,Master Trust Bank of Japan (trust),14.0,Family and foundation aggregate ~14%; nowhere near control. High free float.
7,Mabuchi Motor,6592,2,Mabuchi family and related foundations,14.0,
7,Mabuchi Motor,6592,3,Foreign institutions (value and small-cap funds),10.0,
7,Mabuchi Motor,6592,4,Custody Bank of Japan (trust),5.0,
7,Mabuchi Motor,6592,5,Domestic insurers,3.0,
8,Hirose Electric,6806,1,Master Trust Bank of Japan (trust),15.0,No family or corporate anchor — one of the most fragmented registers in the screen.
8,Hirose Electric,6806,2,"Foreign institutions (BlackRock, Capital, Norges)",12.0,
8,Hirose Electric,6806,3,Custody Bank of Japan (trust),6.0,
8,Hirose Electric,6806,4,Domestic insurers and banks,4.0,
8,Hirose Electric,6806,5,Employee shareholding association,2.0,
9,Alps Alpine,6770,1,Master Trust Bank of Japan (trust),13.0,The Murakami group's ~10% is the defining register feature — an activist catalyst already pressing.
9,Alps Alpine,6770,2,"Murakami-affiliated vehicles (City Index, Reno et al.)",10.0,
9,Alps Alpine,6770,3,Foreign institutions (aggregate),8.0,
9,Alps Alpine,6770,4,Custody Bank of Japan (trust),5.0,
9,Alps Alpine,6770,5,Domestic insurers and banks,4.0,
10,Yamaha Corporation,7951,1,Master Trust Bank of Japan (trust),15.0,Fragmented apart from the reciprocal Yamaha Motor holding — itself a target rather than a defence.
10,Yamaha Corporation,7951,2,"Foreign institutions (BlackRock, Norges)",9.0,
10,Yamaha Corporation,7951,3,Custody Bank of Japan (trust),6.0,
10,Yamaha Corporation,7951,4,Yamaha Motor (cross-shareholding),4.0,
10,Yamaha Corporation,7951,5,Domestic insurers and banks,4.0,
11,Kamigumi,9364,1,Master Trust Bank of Japan (trust),12.0,Cross-shareholder aggregate is meaningful friction but far from control. Ample free float.
